Time,trend
2018-01-05,1087932.2142058334
2018-01-06,1086657.256314653
2018-01-07,1086567.2470028473
2018-01-08,1090858.4664702776
2018-01-09,1094927.5233238195
2018-01-10,1096684.8648343054
2018-01-11,1097655.9634177778
2018-01-12,1096924.6156402081
2018-01-13,1093547.4958531943
2018-01-14,1091893.289296875
2018-01-15,1094754.0622572917
2018-01-16,1097287.3599961111
2018-01-17,1098099.9627886112
2018-01-18,1099028.0689268056
2018-01-19,1098942.1387990278
2018-01-20,1096535.4075722916
2018-01-21,1095953.466422153
2018-01-22,1100389.8149290972
2018-01-23,1104763.929530278
2018-01-24,1106969.2822622918
2018-01-25,1109206.2832380554
2018-01-26,1110377.0479913198
2018-01-27,1111039.0273861806
2018-01-28,1114280.1304318751
2018-01-29,1120154.993491875
2018-01-30,1124700.2642527085
2018-01-31,1126657.6326147916
2018-02-01,1125500.7979845142
2018-02-02,1123427.6326911806
2018-02-03,1121810.3301507637
2018-02-04,1121911.776542847
2018-02-05,1126599.2586245832
2018-02-06,1131014.954071597
2018-02-07,1133174.015262014
2018-02-08,1134680.5451606943
2018-02-09,1134762.4375177778
2018-02-10,1132342.5913409027
2018-02-11,1132375.764427986
2018-02-12,1137416.7871954166
2018-02-13,1142060.4466768748
2018-02-14,1145376.1221363887
2018-02-15,1148662.7665409027
2018-02-16,1150160.6392451387
2018-02-17,1148568.2280076386
2018-02-18,1148862.382978889
2018-02-19,1154269.299714097
2018-02-20,1159094.46202625
2018-02-21,1161173.2232995138
2018-02-22,1162471.7742634027
2018-02-23,1162529.765145139
2018-02-24,1160009.2905536806
2018-02-25,1160074.0004866668
2018-02-26,1166025.3677258333
2018-02-27,1171209.0543739584
2018-02-28,1173036.0761085418
2018-03-01,1173531.7123469445
2018-03-02,1173139.4592879165
2018-03-03,1173426.6651652083
2018-03-04,1175859.378704514
2018-03-05,1180652.3353637499
2018-03-06,1184663.2158680554
2018-03-07,1186645.8278626387
2018-03-08,1188319.5971306942
2018-03-09,1188901.3780043053
2018-03-10,1187131.5898438888
2018-03-11,1187572.8954543055
2018-03-12,1193748.561004236
2018-03-13,1199365.370851389
2018-03-14,1202312.8238506943
2018-03-15,1205051.5481020832
2018-03-16,1205830.8118888887
2018-03-17,1203330.1894694443
2018-03-18,1203345.7149840274
2018-03-19,1209585.8767243053
2018-03-20,1215855.3967421527
2018-03-21,1219355.003000972
2018-03-22,1222414.1280801385
2018-03-23,1224566.5602599997
2018-03-24,1224159.1540488887
2018-03-25,1226186.943689861
2018-03-26,1233806.5271068749
2018-03-27,1240035.1222988195
2018-03-28,1242448.5031931945
2018-03-29,1243803.1318883335
2018-03-30,1244144.1581306946
2018-03-31,1242853.6802320837
2018-04-01,1243190.6819376391
2018-04-02,1246084.5747478474
2018-04-03,1248879.725473125
2018-04-04,1251571.6569715275
2018-04-05,1254113.2347152776
2018-04-06,1254913.8664715276
2018-04-07,1252619.5423104167
2018-04-08,1252227.9086173612
2018-04-09,1257324.1587583334
2018-04-10,1262041.5664423613
2018-04-11,1264153.4948256945
2018-04-12,1265643.6043506942
2018-04-13,1265520.9087166665
2018-04-14,1262163.1784749997
2018-04-15,1261661.716554861
2018-04-16,1266842.2711243054
2018-04-17,1269500.5668402778
2018-04-18,1268520.3323708335
2018-04-19,1267132.0508138887
2018-04-20,1264318.181040972
2018-04-21,1258454.1148535416
2018-04-22,1254686.8109001392
2018-04-23,1256443.4115181947
2018-04-24,1257060.3343758334
2018-04-25,1255293.3019737503
2018-04-26,1253948.484032778
2018-04-27,1251762.028716111
2018-04-28,1247410.8372543056
2018-04-29,1246060.0535258332
2018-04-30,1250510.5414772222
2018-05-01,1254544.2131438886
2018-05-02,1258637.2106904164
2018-05-03,1261994.6307772223
2018-05-04,1261112.9313008334
2018-05-05,1256442.4844480555
2018-05-06,1253760.854066111
2018-05-07,1256483.6267466666
2018-05-08,1258480.731464028
2018-05-09,1257621.888255
2018-05-10,1256234.5260522221
2018-05-11,1252955.2002258336
2018-05-12,1246791.5659015274
2018-05-13,1244289.1321848608
2018-05-14,1247852.9754459718
2018-05-15,1250207.5744897218
2018-05-16,1249920.0580244444
2018-05-17,1250178.343870972
2018-05-18,1248178.2560313886
2018-05-19,1242325.8473091668
2018-05-20,1238974.9078086806
2018-05-21,1241668.9194817361
2018-05-22,1243621.1797935416
2018-05-23,1243341.741070764
2018-05-24,1244175.4609624997
2018-05-25,1241894.5146374998
2018-05-26,1234138.6262659028
2018-05-27,1228359.2685149307
2018-05-28,1228564.8423399308
2018-05-29,1228314.8721785417
2018-05-30,1225061.1868308333
2018-05-31,1221667.4279530554
2018-06-01,1217214.606957222
2018-06-02,1210249.1760809028
2018-06-03,1205877.2968283333
2018-06-04,1206928.5131409722
2018-06-05,1206871.7570202777
2018-06-06,1204890.1362481946
2018-06-07,1203127.8797697222
2018-06-08,1200355.684594028
2018-06-09,1194578.0922721527
2018-06-10,1190278.0992104164
2018-06-11,1190979.8906422916
2018-06-12,1190652.4828869447
2018-06-13,1188440.820927222
2018-06-14,1186124.3178848608
2018-06-15,1182364.78799875
2018-06-16,1176092.2404831944
2018-06-17,1173325.300313611
2018-06-18,1176964.6181081946
2018-06-19,1179942.739612847
2018-06-20,1180575.4485480555
2018-06-21,1180931.945693125
2018-06-22,1178833.142121597
2018-06-23,1172438.880283125
2018-06-24,1169455.1829184722
2018-06-25,1173965.8034835416
2018-06-26,1177965.6210749305
2018-06-27,1178710.4505304862
2018-06-28,1178398.850121111
2018-06-29,1176888.2441079859
2018-06-30,1173164.602397153
2018-07-01,1171558.6271641667
2018-07-02,1174955.9650678472
2018-07-03,1177490.6875926387
2018-07-04,1178285.1058855555
2018-07-05,1179319.3889965275
2018-07-06,1178488.9587672222
2018-07-07,1174469.6108452778
2018-07-08,1172488.2630402776
2018-07-09,1176508.6721638192
2018-07-10,1180667.0810727775
2018-07-11,1182034.6522613193
2018-07-12,1182187.4127754858
2018-07-13,1180477.568499514
2018-07-14,1176317.2514652777
2018-07-15,1174722.1830463884
2018-07-16,1178703.473444861
2018-07-17,1178724.1991974302
2018-07-18,1175210.8168257636
2018-07-19,1173761.2476929163
2018-07-20,1170970.2109863886
2018-07-21,1165917.304355139
2018-07-22,1163483.0641252082
2018-07-23,1166226.7141018054
2018-07-24,1167452.632330972
2018-07-25,1166340.6150533333
2018-07-26,1165836.552267639
2018-07-27,1164346.7850500692
2018-07-28,1160330.9319784027
2018-07-29,1158315.4778164583
2018-07-30,1161067.2964709722
2018-07-31,1162918.6354431943
2018-08-01,1162628.7507611804
2018-08-02,1162271.2166806946
2018-08-03,1160536.370393264
2018-08-04,1155970.9872409725
2018-08-05,1152742.475891736
2018-08-06,1154995.6818518057
2018-08-07,1157630.796357153
2018-08-08,1158048.011554167
2018-08-09,1158709.7665944444
2018-08-10,1158991.9419691667
2018-08-11,1156877.1656686806
2018-08-12,1156598.551254375
2018-08-13,1161245.6423288889
2018-08-14,1164682.1493505554
2018-08-15,1162867.813573889
2018-08-16,1163485.506172153
2018-08-17,1166128.2604659027
2018-08-18,1164439.2856654166
2018-08-19,1164575.6314302776
2018-08-20,1169446.981469861
2018-08-21,1173732.6988871526
2018-08-22,1175681.775235764
2018-08-23,1178554.9247330553
2018-08-24,1180518.225745
2018-08-25,1178704.4884791668
2018-08-26,1178869.0156870137
2018-08-27,1184482.9456725
2018-08-28,1189411.674382778
2018-08-29,1192228.814254375
2018-08-30,1194969.2565345832
2018-08-31,1196192.9700649302
2018-09-01,1194515.6840968055
2018-09-02,1194954.7070036805
2018-09-03,1198365.9972518056
2018-09-04,1201071.9523068056
2018-09-05,1202819.9594246529
2018-09-06,1203341.1359163194
2018-09-07,1202410.0105080556
2018-09-08,1198648.5029580558
2018-09-09,1197606.8679969448
2018-09-10,1202366.7911969444
2018-09-11,1206398.9402497222
2018-09-12,1207847.8701594444
2018-09-13,1209060.7447691665
2018-09-14,1211465.5555691663
2018-09-15,1211112.5753386111
2018-09-16,1210383.2265594443
2018-09-17,1214645.4838233334
2018-09-18,1218344.218201111
2018-09-19,1217388.5074275
2018-09-20,1215390.7287513888
2018-09-21,1214490.8373940277
2018-09-22,1211500.7193752779
2018-09-23,1210508.7183773608
2018-09-24,1214559.425858611
2018-09-25,1217140.5088224998
2018-09-26,1217191.198985
2018-09-27,1217364.0263891665
2018-09-28,1215564.7760919444
2018-09-29,1210355.1196295142
2018-09-30,1207117.0292714583
2018-10-01,1209179.1785675
2018-10-02,1210858.4728119445
2018-10-03,1212530.7922619444
2018-10-04,1214538.017947847
2018-10-05,1214051.1451029861
2018-10-06,1211386.0161318055
2018-10-07,1210479.6725344444
2018-10-08,1214220.5254900001
2018-10-09,1213677.968274722
2018-10-10,1207681.3263720833
2018-10-11,1202188.5644918748
2018-10-12,1196605.7637381942
2018-10-13,1189994.867930486
2018-10-14,1186470.5553075003
2018-10-15,1188480.446199514
2018-10-16,1189459.683830278
2018-10-17,1187675.0555748614
2018-10-18,1185582.1161305555
2018-10-19,1184440.1377684027
2018-10-20,1181572.941972917
2018-10-21,1178802.378598403
2018-10-22,1180726.8900543058
2018-10-23,1181297.7899022223
2018-10-24,1179615.106877917
2018-10-25,1178158.8786752084
2018-10-26,1174888.8594783335
2018-10-27,1168968.8247901392
2018-10-28,1165329.8404840974
2018-10-29,1167143.7336347916
2018-10-30,1168329.8708683336
2018-10-31,1166938.224736667
2018-11-01,1164782.9836344444
2018-11-02,1161112.7788003471
2018-11-03,1154956.2033569445
2018-11-04,1150460.513256736
2018-11-05,1150792.3741019447
2018-11-06,1150435.5080192361
2018-11-07,1147669.777083819
2018-11-08,1147430.7051040274
2018-11-09,1148346.5914686113
2018-11-10,1145940.2659694445
2018-11-11,1144324.8637840971
2018-11-12,1146003.7075941667
2018-11-13,1146136.467905625
2018-11-14,1143890.8063172915
2018-11-15,1141381.2529735412
2018-11-16,1137812.7076577775
2018-11-17,1132141.7744812497
2018-11-18,1128186.590571111
2018-11-19,1128846.1222047915
2018-11-20,1128327.6606717359
2018-11-21,1124458.7658280553
2018-11-22,1120693.3048152777
2018-11-23,1116208.1415775693
2018-11-24,1109874.5099752084
2018-11-25,1105963.2267600694
2018-11-26,1105321.4950981252
2018-11-27,1103621.7745609721
2018-11-28,1100011.3057392363
2018-11-29,1095974.770663611
2018-11-30,1091289.301200625
2018-12-01,1085160.807355139
2018-12-02,1081154.5740316664
2018-12-03,1080887.9523
2018-12-04,1080121.6216793056
2018-12-05,1077785.486458889
2018-12-06,1075512.680321875
2018-12-07,1072555.6449376387
2018-12-08,1067306.9588779167
2018-12-09,1063711.4091584026
2018-12-10,1064953.086229236
2018-12-11,1065987.227029097
2018-12-12,1065051.0742861803
2018-12-13,1063965.02129875
2018-12-14,1061841.4478670834
2018-12-15,1057566.5813114583
2018-12-16,1054794.8530111804
2018-12-17,1056597.0145511804
2018-12-18,1058800.1470077778
2018-12-19,1059512.3583425
2018-12-20,1060546.948940972
2018-12-21,1061136.978143611
2018-12-22,1059704.1833033331
2018-12-23,1060048.304807361
2018-12-24,1064601.880731389
2018-12-25,1068475.1582025
2018-12-26,1070843.2558201386
2018-12-27,1071780.7890575696
2018-12-28,1068743.2717378472
2018-12-29,1063976.9400399304
2018-12-30,1062579.3764311112
2018-12-31,1065547.3017563194
2019-01-01,1068476.5105329165
2019-01-02,1070647.9833909029
2019-01-03,1072534.3697051387
2019-01-04,1072409.20099875
2019-01-05,1069805.4458272222
2019-01-06,1068865.3624576388
2019-01-07,1072634.0753502084
2019-01-08,1075894.607458125
2019-01-09,1076405.031881667
2019-01-10,1075950.0330504861
2019-01-11,1073977.4904049307
2019-01-12,1069949.9219083337
