Time,resid
2017-12-02,-4903.38299267026
2017-12-03,-99110.71248162368
2017-12-04,-16521.42969091222
2017-12-05,-154.31807396414297
2017-12-06,-6734.616012947794
2017-12-07,13567.802556797084
2017-12-08,50690.59351185414
2017-12-09,-33816.50126792122
2017-12-10,-122657.5407760072
2017-12-11,-50307.66034670346
2017-12-12,-17502.16972651302
2017-12-13,-1788.4459230470675
2017-12-14,-5162.458650995832
2017-12-15,26940.718161230252
2017-12-16,-21243.79193410065
2017-12-17,-91654.87552145217
2017-12-18,-13463.126747498725
2017-12-19,-30488.012834770227
2017-12-20,-39908.12571013937
2017-12-21,-2769.242166657743
2017-12-22,51144.961482824525
2017-12-23,6218.328983128682
2017-12-24,-96821.29058119748
2017-12-25,-27487.951868134398
2017-12-26,-3541.919530162435
2017-12-27,-3009.0750098162534
2017-12-28,8447.122025541488
2017-12-29,65795.3036192935
2017-12-30,-5160.4690213116555
2017-12-31,-106577.22574565336
2018-01-01,-7300.8974045346695
2018-01-02,-3378.73664251421
2018-01-03,-1117.261710143579
2018-01-04,3863.6490373412744
2018-01-05,39900.79230758862
2018-01-06,-25159.12917625827
2018-01-07,-123343.54352286404
2018-01-08,-43584.72835657824
2018-01-09,-47425.503584009755
2018-01-10,-56949.47429316104
2018-01-11,-408.2531537661198
2018-01-12,-289.86432266267366
2018-01-13,-26420.918857887198
2018-01-14,-101631.11999782982
2018-01-15,-11462.43853934824
2018-01-16,3267.556689882953
2018-01-17,-4119.349882232731
2018-01-18,2663.965243524399
2018-01-19,56661.565855925466
2018-01-20,3610.2023611273908
2018-01-21,-92657.48595061922
2018-01-22,-10920.842774009572
2018-01-23,5884.609510137769
2018-01-24,22788.23481315909
2018-01-25,44118.02627152305
2018-01-26,82979.26289378724
2018-01-27,1812.720882059497
2018-01-28,-101753.76069138797
2018-01-29,-55150.98649079043
2018-01-30,-73060.87325846171
2018-01-31,-50380.665096852084
2018-02-01,-7125.087618225416
2018-02-02,38775.68820655734
2018-02-03,-27491.39855109866
2018-02-04,-119294.31328596167
2018-02-05,-36430.42745130789
2018-02-06,-33537.181908347266
2018-02-07,-17465.556378008572
